,ent_h,rel,ent_t
710,26MonthOld,do,TellingChange
711,26MonthOld,do,TellingThePottyTime
712,26MonthOld,do,UsingPotty
713,26MonthOld,do,Weaning
714,26MonthOld,eat,Carrot
715,26MonthOld,eat,Celery
716,26MonthOld,eat,Cheese
717,26MonthOld,eat,Chicken
718,26MonthOld,eat,CookedVeggie
719,26MonthOld,eat,FiberGummy
720,26MonthOld,eat,Fruit
721,26MonthOld,eat,Grain
722,26MonthOld,eat,IronSupplement
723,26MonthOld,eat,Protein
724,26MonthOld,eat,Rice
725,26MonthOld,eat,SkimMilk
726,26MonthOld,eat,SteamedVeggie
727,26MonthOld,eat,VitaminSupplement
728,26MonthOld,eat,Water
729,26MonthOld,eat,Yogurt
730,26MonthOld,isa,Defiant
731,26MonthOld,isa,Frustrating
732,26MonthOld,isa,Independent
733,26MonthOld,isa,SelfCentered
734,26MonthOld,isa,Stubborn
735,26MonthOld,suffer,Constipation
736,26MonthOld,suffer,Coughing
737,26MonthOld,suffer,Diarrhea
738,26MonthOld,suffer,Fever
739,26MonthOld,suffer,SleepRegression
740,26MonthOld,suffer,Vomiting
741,26MonthOld,suffer,WakingUpTooEarly
742,26MonthOld,hasAge,19
743,26MonthOld,hasboyheight,34.8
744,26MonthOld,hasBoyWeight,28.7
745,26MonthOld,hasgirlheight,34.3
746,26MonthOld,hasGirlWeight,27.4
747,26MonthOld,needCalcium,700.0
748,26MonthOld,needMealTime,3.0
749,26MonthOld,needNapDuration,1.5
750,26MonthOld,needSleepDuration,11.0
751,26MonthOld,needSnackTime,2.0
752,27MonthOld,act,DoingLatchBoard
753,27MonthOld,act,DoingPuzzle
754,27MonthOld,act,Lacing
755,27MonthOld,act,PlayingPullingToy
756,27MonthOld,act,PlayingPushAndPullToy
757,27MonthOld,act,PlayingPushingToy
758,27MonthOld,behave,FearingStranger
759,27MonthOld,behave,LovingRepetition
760,27MonthOld,behave,ParallelPlaying
761,27MonthOld,do,PickyEating
762,27MonthOld,do,PottyTrainingReady
763,27MonthOld,do,PullingPants
764,27MonthOld,do,RidingTricycle
765,27MonthOld,do,Speaking50or100Words
766,27MonthOld,do,SpeakingTwoPhrases
767,27MonthOld,do,SpeakingTwoWordSentence
768,27MonthOld,do,StandingOneFoot
769,27MonthOld,do,SteppingOneFoot
770,27MonthOld,do,TeethingLowerSecondMolar
771,27MonthOld,do,TeethingUpperSecondMolar
772,27MonthOld,do,TellingChange
773,27MonthOld,do,TellingThePottyTime
774,27MonthOld,do,UsingPotty
775,27MonthOld,do,Weaning
776,27MonthOld,eat,Carrot
777,27MonthOld,eat,Celery
778,27MonthOld,eat,Cheese
779,27MonthOld,eat,Chicken
780,27MonthOld,eat,CookedVeggie
781,27MonthOld,eat,FiberGummy
782,27MonthOld,eat,Fruit
783,27MonthOld,eat,Grain
784,27MonthOld,eat,IronSupplement
785,27MonthOld,eat,Protein
786,27MonthOld,eat,Rice
787,27MonthOld,eat,SkimMilk
788,27MonthOld,eat,SteamedVeggie
789,27MonthOld,eat,VitaminSupplement
790,27MonthOld,eat,Water
791,27MonthOld,eat,Yogurt
792,27MonthOld,isa,ActingDifferentlyToEnvironment
793,27MonthOld,suffer,Constipation
794,27MonthOld,suffer,Coughing
795,27MonthOld,suffer,Diarrhea
796,27MonthOld,suffer,Fever
797,27MonthOld,suffer,SleepRegression
798,27MonthOld,suffer,Vomiting
799,27MonthOld,suffer,WakingUpTooEarly
800,27MonthOld,hasAge,27
801,27MonthOld,hasboyheight,35.1
802,27MonthOld,hasBoyWeight,29.0
803,27MonthOld,hasgirlheight,34.6
804,27MonthOld,hasGirlWeight,27.8
805,27MonthOld,needCalcium,700.0
806,27MonthOld,needMealTime,3.0
807,27MonthOld,needNapDuration,1.5
808,27MonthOld,needSleepDuration,11.0
809,27MonthOld,needSnackTime,2.0
810,28MonthOld,act,PlayingBlock
811,28MonthOld,act,PlayingTextureToy
812,28MonthOld,act,ReadingBook
813,28MonthOld,behave,FearingStranger
814,28MonthOld,behave,LovingRepetition
815,28MonthOld,behave,ParallelPlaying
816,28MonthOld,behave,TransitionTrouble
817,28MonthOld,check,LimitingTVTime
818,28MonthOld,check,PracticingFineMotorSkill
819,28MonthOld,do,EatingIndependently
820,28MonthOld,do,FollowingInstruction
821,28MonthOld,do,GoingToDaycare
822,28MonthOld,do,GoingToPreSchool
823,28MonthOld,do,PickyEating
824,28MonthOld,do,PottyTrainingReady
825,28MonthOld,do,PullingPants
826,28MonthOld,do,RidingTricycle
827,28MonthOld,do,Speaking100To250Words
828,28MonthOld,do,SpeakingTwoPhrases
829,28MonthOld,do,SpeakingTwoWordSentence
830,28MonthOld,do,StandingOneFoot
831,28MonthOld,do,SteppingOneFoot
832,28MonthOld,do,TeethingLowerSecondMolar
833,28MonthOld,do,TeethingUpperSecondMolar
834,28MonthOld,do,TellingChange
835,28MonthOld,do,TellingThePottyTime
836,28MonthOld,do,UsingPotty
837,28MonthOld,do,UsingSpoon
838,28MonthOld,do,Weaning
839,28MonthOld,eat,Carrot
840,28MonthOld,eat,Celery
841,28MonthOld,eat,Cheese
842,28MonthOld,eat,Chicken
843,28MonthOld,eat,CookedVeggie
844,28MonthOld,eat,FiberGummy
845,28MonthOld,eat,Fruit
846,28MonthOld,eat,Grain
847,28MonthOld,eat,IronSupplement
848,28MonthOld,eat,Protein
849,28MonthOld,eat,Rice
850,28MonthOld,eat,SkimMilk
851,28MonthOld,eat,SteamedVeggie
852,28MonthOld,eat,VitaminSupplement
853,28MonthOld,eat,Water
854,28MonthOld,eat,Yogurt
855,28MonthOld,suffer,Constipation
856,28MonthOld,suffer,Coughing
857,28MonthOld,suffer,Diarrhea
858,28MonthOld,suffer,Fever
859,28MonthOld,suffer,SleepRegression
860,28MonthOld,suffer,Vomiting
861,28MonthOld,suffer,WakingUpTooEarly
862,28MonthOld,hasAge,27
863,28MonthOld,hasboyheight,35.4
864,28MonthOld,hasBoyWeight,29.3
865,28MonthOld,hasgirlheight,35.0
866,28MonthOld,hasGirlWeight,28.1
867,28MonthOld,needCalcium,700.0
868,28MonthOld,needMealTime,3.0
869,28MonthOld,needNapDuration,1.5
870,28MonthOld,needSleepDuration,11.0
871,28MonthOld,needSnackTime,2.0
872,29MonthOld,act,GoingGroceryShopping
873,29MonthOld,act,GoingToBookSpace
874,29MonthOld,act,GoingToKidsGym
875,29MonthOld,act,GoingToSightseeing
876,29MonthOld,act,GoingToThePark
877,29MonthOld,act,Outing
878,29MonthOld,act,PreparingTheMeal
879,29MonthOld,behave,LovingRepetition
880,29MonthOld,behave,OccasionalNegativeEmotion
881,29MonthOld,behave,ParallelPlaying
882,29MonthOld,behave,RefusingBedtime
883,29MonthOld,behave,TransitionTrouble
884,29MonthOld,behave,Whining
885,29MonthOld,check,LimitingTVTime
886,29MonthOld,check,PracticingFineMotorSkill
887,29MonthOld,do,EatingIndependently
888,29MonthOld,do,FollowingInstruction
889,29MonthOld,do,GoingToDaycare
890,29MonthOld,do,GoingToPreSchool
891,29MonthOld,do,PickyEating
892,29MonthOld,do,PottyTrainingReady
893,29MonthOld,do,PullingPants
894,29MonthOld,do,RidingTricycle
895,29MonthOld,do,Speaking100To250Words
896,29MonthOld,do,SpeakingInSentences
897,29MonthOld,do,SpeakingTwoPhrases
898,29MonthOld,do,SpeakingTwoWordSentence
899,29MonthOld,do,StandingOneFoot
900,29MonthOld,do,SteppingOneFoot
901,29MonthOld,do,TeethingLowerSecondMolar
902,29MonthOld,do,TeethingUpperSecondMolar
903,29MonthOld,do,TellingChange
904,29MonthOld,do,TellingThePottyTime
905,29MonthOld,do,UsingPotty
906,29MonthOld,do,UsingSpoon
907,29MonthOld,do,Weaning
908,29MonthOld,eat,Carrot
909,29MonthOld,eat,Celery
910,29MonthOld,eat,Cheese
911,29MonthOld,eat,Chicken
912,29MonthOld,eat,CookedVeggie
913,29MonthOld,eat,FiberGummy
914,29MonthOld,eat,Fruit
915,29MonthOld,eat,FruitSnack
916,29MonthOld,eat,Grain
917,29MonthOld,eat,IronSupplement
918,29MonthOld,eat,Oreo
919,29MonthOld,eat,Protein
920,29MonthOld,eat,Rice
921,29MonthOld,eat,SkimMilk
922,29MonthOld,eat,SteamedVeggie
923,29MonthOld,eat,VitaminSupplement
924,29MonthOld,eat,Water
925,29MonthOld,eat,Yogurt
926,29MonthOld,eat,100PercentJuice
927,29MonthOld,isa,LangageHeavyLearner
928,29MonthOld,suffer,Constipation
929,29MonthOld,suffer,Coughing
930,29MonthOld,suffer,Diarrhea
931,29MonthOld,suffer,Fever
932,29MonthOld,suffer,SleepRegression
933,29MonthOld,suffer,Vomiting
934,29MonthOld,suffer,WakingUpTooEarly
935,29MonthOld,hasAge,27
936,29MonthOld,hasboyheight,35.7
937,29MonthOld,hasBoyWeight,29.6
938,29MonthOld,hasgirlheight,35.3
939,29MonthOld,hasGirlWeight,28.4
940,29MonthOld,needCalcium,700.0
941,29MonthOld,needMealTime,3.0
942,29MonthOld,needNapDuration,1.5
943,29MonthOld,needSleepDuration,11.0
944,29MonthOld,needSnackTime,2.0
945,3MonthOld,developeSense,FollowingMovingObjects
946,3MonthOld,developeSense,SmilingToParentsVoice
947,3MonthOld,do,Mimicking
948,3MonthOld,do,OpeningAndClosingHands
949,3MonthOld,do,PickingThings
950,3MonthOld,eat,BreastMilk
951,3MonthOld,eat,FormulaMilk
952,3MonthOld,hasAge,3
953,3MonthOld,hasboyheight,24.2
954,3MonthOld,hasBoyWeight,14.1
955,3MonthOld,hasgirlheight,23.5
956,3MonthOld,hasGirlWeight,12.9
957,3MonthOld,hasWetDiaper,4.0
958,3MonthOld,needMilkOunce,4.0
959,3MonthOld,needMilkTime,6.0
960,3MonthOld,needNapDuration,5.0
961,3MonthOld,needSleepDuration,15.0
962,30MonthOld,act,DoingPuzzle
963,30MonthOld,act,DrawingColoring
964,30MonthOld,act,GoingGroceryShopping
965,30MonthOld,act,GoingToBookSpace
966,30MonthOld,act,GoingToKidsGym
967,30MonthOld,act,GoingToSightseeing
968,30MonthOld,act,GoingToThePark
969,30MonthOld,act,Outing
970,30MonthOld,act,PlayingClay
971,30MonthOld,act,PreparingTheMeal
972,30MonthOld,behave,OccasionalNegativeEmotion
973,30MonthOld,behave,RefusingBedtime
974,30MonthOld,behave,RefusingNap
975,30MonthOld,behave,TransitionTrouble
976,30MonthOld,behave,Whining
977,30MonthOld,check,ThirtyMonthMedicalCheckup
978,30MonthOld,do,BuildingBlock
979,30MonthOld,do,DecliningTantrum
980,30MonthOld,do,DressingIndependently
981,30MonthOld,do,EatingIndependently
982,30MonthOld,do,FollowingInstruction
983,30MonthOld,do,GoingToDaycare
984,30MonthOld,do,GoingToPreSchool
985,30MonthOld,do,Jumping
986,30MonthOld,do,PickyEating
987,30MonthOld,do,PottyTrainingReady
988,30MonthOld,do,PullingPants
989,30MonthOld,do,RidingTricycle
990,30MonthOld,do,SomePottyTrainingMastered
991,30MonthOld,do,Speaking100To250Words
992,30MonthOld,do,SpeakingInSentences
993,30MonthOld,do,SpeakingTwoPhrases
994,30MonthOld,do,SpeakingTwoWordSentence
995,30MonthOld,do,StandingOneFoot
996,30MonthOld,do,SteppingOneFoot
997,30MonthOld,do,TeethingLowerSecondMolar
998,30MonthOld,do,TeethingUpperSecondMolar
999,30MonthOld,do,TellingChange
1000,30MonthOld,do,TellingThePottyTime
1001,30MonthOld,do,UsingPotty
1002,30MonthOld,do,UsingSpoon
1003,30MonthOld,do,Weaning
1004,30MonthOld,eat,Carrot
1005,30MonthOld,eat,Celery
1006,30MonthOld,eat,Cheese
1007,30MonthOld,eat,Chicken
1008,30MonthOld,eat,CookedVeggie
1009,30MonthOld,eat,FiberGummy
1010,30MonthOld,eat,Fruit
1011,30MonthOld,eat,FruitSnack
1012,30MonthOld,eat,Grain
1013,30MonthOld,eat,IronSupplement
1014,30MonthOld,eat,Oreo
1015,30MonthOld,eat,Protein
1016,30MonthOld,eat,Rice
1017,30MonthOld,eat,SkimMilk
1018,30MonthOld,eat,SteamedVeggie
1019,30MonthOld,eat,VitaminSupplement
1020,30MonthOld,eat,Water
1021,30MonthOld,eat,Yogurt
1022,30MonthOld,eat,100PercentJuice
1023,30MonthOld,isa,LangageHeavyLearner
1024,30MonthOld,suffer,Constipation
1025,30MonthOld,suffer,Coughing
1026,30MonthOld,suffer,Diarrhea
1027,30MonthOld,suffer,Fever
1028,30MonthOld,suffer,SleepRegression
1029,30MonthOld,suffer,Vomiting
1030,30MonthOld,suffer,WakingUpTooEarly
1031,30MonthOld,hasAge,27
1032,30MonthOld,hasboyheight,36.0
1033,30MonthOld,hasBoyWeight,29.9
1034,30MonthOld,hasgirlheight,35.6
1035,30MonthOld,hasGirlWeight,28.8
1036,30MonthOld,needCalcium,700.0
1037,30MonthOld,needMealTime,3.0
1038,30MonthOld,needNapDuration,1.5
1039,30MonthOld,needSleepDuration,11.0
1040,30MonthOld,needSnackTime,2.0
1041,31MonthOld,act,DoingPuzzle
1042,31MonthOld,act,DrawingColoring
1043,31MonthOld,act,GoingGroceryShopping
1044,31MonthOld,act,GoingToBookSpace
1045,31MonthOld,act,GoingToKidsGym
1046,31MonthOld,act,GoingToSightseeing
1047,31MonthOld,act,GoingToThePark
1048,31MonthOld,act,Outing
1049,31MonthOld,act,PlayingClay
1050,31MonthOld,act,PreparingTheMeal
1051,31MonthOld,behave,OccasionalNegativeEmotion
1052,31MonthOld,behave,RefusingBedtime
1053,31MonthOld,behave,RefusingNap
1054,31MonthOld,behave,SayingNo
1055,31MonthOld,behave,SeekingAttention
1056,31MonthOld,behave,TransitionTrouble
1057,31MonthOld,behave,Whining
1058,31MonthOld,do,BuildingBlock
1059,31MonthOld,do,DecliningTantrum
1060,31MonthOld,do,DressingIndependently
1061,31MonthOld,do,EatingIndependently
1062,31MonthOld,do,FollowingInstruction
1063,31MonthOld,do,GoingToDaycare
1064,31MonthOld,do,GoingToPreSchool
1065,31MonthOld,do,HandWashing
1066,31MonthOld,do,Jumping
1067,31MonthOld,do,PickyEating
1068,31MonthOld,do,PottyTrainingReady
1069,31MonthOld,do,PullingPants
1070,31MonthOld,do,RidingTricycle
1071,31MonthOld,do,SomePottyTrainingMastered
1072,31MonthOld,do,Speaking100To250Words
1073,31MonthOld,do,SpeakingInSentences
1074,31MonthOld,do,SpeakingThreeWordSentence
1075,31MonthOld,do,SpeakingTwoPhrases
1076,31MonthOld,do,SpeakingTwoWordSentence
1077,31MonthOld,do,StandingOneFoot
1078,31MonthOld,do,SteppingOneFoot
1079,31MonthOld,do,TeethingLowerSecondMolar
1080,31MonthOld,do,TeethingUpperSecondMolar
1081,31MonthOld,do,TellingChange
1082,31MonthOld,do,TellingThePottyTime
1083,31MonthOld,do,Toothbrushing
1084,31MonthOld,do,UsingPotty
1085,31MonthOld,do,UsingSpoon
1086,31MonthOld,do,Weaning
1087,31MonthOld,eat,Carrot
1088,31MonthOld,eat,Celery
1089,31MonthOld,eat,Cheese
1090,31MonthOld,eat,Chicken
1091,31MonthOld,eat,CookedVeggie
1092,31MonthOld,eat,FiberGummy
1093,31MonthOld,eat,Fruit
1094,31MonthOld,eat,FruitSnack
1095,31MonthOld,eat,Grain
1096,31MonthOld,eat,IronSupplement
1097,31MonthOld,eat,Oreo
1098,31MonthOld,eat,Protein
1099,31MonthOld,eat,Rice
1100,31MonthOld,eat,SkimMilk
1101,31MonthOld,eat,SteamedVeggie
1102,31MonthOld,eat,VitaminSupplement
1103,31MonthOld,eat,Water
1104,31MonthOld,eat,Yogurt
1105,31MonthOld,eat,100PercentJuice
1106,31MonthOld,isa,LangageHeavyLearner
1107,31MonthOld,isa,VaringInDevelopment
1108,31MonthOld,suffer,Constipation
1109,31MonthOld,suffer,Coughing
1110,31MonthOld,suffer,Diarrhea
1111,31MonthOld,suffer,Fever
1112,31MonthOld,suffer,SleepRegression
1113,31MonthOld,suffer,Vomiting
1114,31MonthOld,suffer,WakingUpTooEarly
1115,31MonthOld,hasAge,27
1116,31MonthOld,hasboyheight,36.2
1117,31MonthOld,hasBoyWeight,30.2
1118,31MonthOld,hasgirlheight,35.8
1119,31MonthOld,hasGirlWeight,29.1
1120,31MonthOld,needCalcium,700.0
1121,31MonthOld,needMealTime,3.0
1122,31MonthOld,needNapDuration,2.0
1123,31MonthOld,needSleepDuration,11.0
1124,31MonthOld,needSnackTime,2.0
1125,32MonthOld,act,DoingPuzzle
1126,32MonthOld,act,DrawingColoring
1127,32MonthOld,act,GoingGroceryShopping
1128,32MonthOld,act,GoingToBookSpace
1129,32MonthOld,act,GoingToKidsGym
1130,32MonthOld,act,GoingToSightseeing
1131,32MonthOld,act,GoingToThePark
1132,32MonthOld,act,Outing
1133,32MonthOld,act,PlayingClay
1134,32MonthOld,act,PreparingTheMeal
1135,32MonthOld,act,Rhyming
1136,32MonthOld,behave,BadManner
1137,32MonthOld,behave,Friendship
1138,32MonthOld,behave,OccasionalNegativeEmotion
1139,32MonthOld,behave,RefusingBedtime
1140,32MonthOld,behave,RefusingNap
1141,32MonthOld,behave,SayingNo
1142,32MonthOld,behave,SeekingAttention
1143,32MonthOld,behave,Shyness
1144,32MonthOld,behave,TransitionTrouble
1145,32MonthOld,behave,Whining
1146,32MonthOld,do,BuildingBlock
1147,32MonthOld,do,DecliningTantrum
1148,32MonthOld,do,DrawingShape
1149,32MonthOld,do,DressingIndependently
1150,32MonthOld,do,EatingIndependently
1151,32MonthOld,do,FollowingInstruction
1152,32MonthOld,do,GoingToDaycare
1153,32MonthOld,do,GoingToPreSchool
1154,32MonthOld,do,HandWashing
1155,32MonthOld,do,Jumping
1156,32MonthOld,do,PickyEating
1157,32MonthOld,do,PottyTrainingReady
1158,32MonthOld,do,PullingPants
1159,32MonthOld,do,RidingTricycle
1160,32MonthOld,do,SomePottyTrainingMastered
1161,32MonthOld,do,Speaking100To250Words
1162,32MonthOld,do,SpeakingInSentences
1163,32MonthOld,do,SpeakingThreeWordSentence
1164,32MonthOld,do,SpeakingTwoPhrases
1165,32MonthOld,do,SpeakingTwoWordSentence
1166,32MonthOld,do,StandingOneFoot
1167,32MonthOld,do,SteppingOneFoot
1168,32MonthOld,do,TeethingLowerSecondMolar
1169,32MonthOld,do,TeethingUpperSecondMolar
1170,32MonthOld,do,TellingChange
1171,32MonthOld,do,TellingThePottyTime
1172,32MonthOld,do,Toothbrushing
1173,32MonthOld,do,UsingPotty
1174,32MonthOld,do,UsingSpoon
1175,32MonthOld,do,Weaning
1176,32MonthOld,eat,Carrot
1177,32MonthOld,eat,Celery
1178,32MonthOld,eat,Cheese
1179,32MonthOld,eat,Chicken
1180,32MonthOld,eat,CookedVeggie
1181,32MonthOld,eat,FiberGummy
1182,32MonthOld,eat,Fruit
1183,32MonthOld,eat,FruitSnack
1184,32MonthOld,eat,Grain
1185,32MonthOld,eat,IronSupplement
1186,32MonthOld,eat,Oreo
1187,32MonthOld,eat,Protein
1188,32MonthOld,eat,Raisin
1189,32MonthOld,eat,Rice
1190,32MonthOld,eat,SkimMilk
1191,32MonthOld,eat,Spinach
1192,32MonthOld,eat,SteamedVeggie
1193,32MonthOld,eat,Turkey
1194,32MonthOld,eat,VitaminSupplement
1195,32MonthOld,eat,Water
1196,32MonthOld,eat,Yogurt
1197,32MonthOld,eat,100PercentJuice
1198,32MonthOld,isa,LangageHeavyLearner
1199,32MonthOld,isa,VaringInDevelopment
1200,32MonthOld,suffer,Constipation
1201,32MonthOld,suffer,Coughing
1202,32MonthOld,suffer,Diarrhea
1203,32MonthOld,suffer,Fever
1204,32MonthOld,suffer,SleepRegression
1205,32MonthOld,suffer,Vomiting
1206,32MonthOld,suffer,WakingUpTooEarly
1207,32MonthOld,hasAge,27
1208,32MonthOld,hasboyheight,36.5
1209,32MonthOld,hasBoyWeight,30.5
1210,32MonthOld,hasgirlheight,36.1
1211,32MonthOld,hasGirlWeight,29.4
1212,32MonthOld,needCalcium,700.0
1213,32MonthOld,needMealTime,3.0
1214,32MonthOld,needNapDuration,2.0
1215,32MonthOld,needSleepDuration,11.0
1216,32MonthOld,needSnackTime,2.0
1217,33MonthOld,act,DoingPuzzle
1218,33MonthOld,act,DrawingColoring
1219,33MonthOld,act,GoingGroceryShopping
1220,33MonthOld,act,GoingToBookSpace
1221,33MonthOld,act,GoingToKidsGym
1222,33MonthOld,act,GoingToSightseeing
1223,33MonthOld,act,GoingToThePark
1224,33MonthOld,act,MakingCollage
1225,33MonthOld,act,Outing
1226,33MonthOld,act,PlayingBoardGame
1227,33MonthOld,act,PlayingClay
1228,33MonthOld,act,PlayingCountingGame
1229,33MonthOld,act,PlayingDifficultBlock
1230,33MonthOld,act,PreparingTheMeal
1231,33MonthOld,act,Rhyming
1232,33MonthOld,behave,BadManner
1233,33MonthOld,behave,Disobeying
1234,33MonthOld,behave,Friendship
1235,33MonthOld,behave,ImaginaryFriend
1236,33MonthOld,behave,OccasionalNegativeEmotion
1237,33MonthOld,behave,RefusingBedtime
1238,33MonthOld,behave,RefusingNap
1239,33MonthOld,behave,SayingNo
1240,33MonthOld,behave,SeekingAttention
1241,33MonthOld,behave,Shyness
1242,33MonthOld,behave,TransitionTrouble
1243,33MonthOld,behave,WakingUpTooEarly
1244,33MonthOld,behave,Whining
1245,33MonthOld,do,BuildingBlock
1246,33MonthOld,do,DecliningTantrum
1247,33MonthOld,do,DrawingShape
1248,33MonthOld,do,DressingIndependently
1249,33MonthOld,do,EatingIndependently
1250,33MonthOld,do,FollowingInstruction
1251,33MonthOld,do,GoingToDaycare
1252,33MonthOld,do,GoingToPreSchool
1253,33MonthOld,do,HandWashing
1254,33MonthOld,do,Jumping
1255,33MonthOld,do,PickyEating
1256,33MonthOld,do,PottyTrainingReady
1257,33MonthOld,do,PullingPants
1258,33MonthOld,do,RidingTricycle
1259,33MonthOld,do,SomePottyTrainingMastered
1260,33MonthOld,do,Speaking100To250Words
1261,33MonthOld,do,Speaking250To450Words
1262,33MonthOld,do,SpeakingFourWordSentence
1263,33MonthOld,do,SpeakingInSentences
1264,33MonthOld,do,SpeakingThreeWordSentence
1265,33MonthOld,do,SpeakingTwoPhrases
1266,33MonthOld,do,SpeakingTwoWordSentence
1267,33MonthOld,do,StandingOneFoot
1268,33MonthOld,do,SteppingOneFoot
1269,33MonthOld,do,TeethingLowerSecondMolar
1270,33MonthOld,do,TeethingUpperSecondMolar
1271,33MonthOld,do,TellingChange
1272,33MonthOld,do,TellingThePottyTime
1273,33MonthOld,do,Toothbrushing
1274,33MonthOld,do,UsingPotty
1275,33MonthOld,do,UsingSpoon
1276,33MonthOld,do,Weaning
1277,33MonthOld,eat,Carrot
1278,33MonthOld,eat,Celery
1279,33MonthOld,eat,Cheese
1280,33MonthOld,eat,Chicken
1281,33MonthOld,eat,CookedVeggie
1282,33MonthOld,eat,FiberGummy
1283,33MonthOld,eat,Fruit
1284,33MonthOld,eat,FruitSnack
1285,33MonthOld,eat,Grain
1286,33MonthOld,eat,IronSupplement
1287,33MonthOld,eat,Oreo
1288,33MonthOld,eat,Protein
1289,33MonthOld,eat,Raisin
1290,33MonthOld,eat,Rice
1291,33MonthOld,eat,Sandwich
1292,33MonthOld,eat,SkimMilk
1293,33MonthOld,eat,Spinach
1294,33MonthOld,eat,SteamedVeggie
1295,33MonthOld,eat,Turkey
1296,33MonthOld,eat,VitaminSupplement
1297,33MonthOld,eat,Water
1298,33MonthOld,eat,Yogurt
1299,33MonthOld,eat,100PercentJuice
1300,33MonthOld,isa,Independent
1301,33MonthOld,isa,LangageHeavyLearner
1302,33MonthOld,isa,VaringInDevelopment
1303,33MonthOld,suffer,Constipation
1304,33MonthOld,suffer,Coughing
1305,33MonthOld,suffer,Diarrhea
1306,33MonthOld,suffer,Fever
1307,33MonthOld,suffer,SleepRegression
1308,33MonthOld,suffer,Vomiting
1309,33MonthOld,hasAge,27
1310,33MonthOld,hasboyheight,37.0
1311,33MonthOld,hasBoyWeight,31.1
1312,33MonthOld,hasgirlheight,36.6
1313,33MonthOld,hasGirlWeight,30.1
1314,33MonthOld,needCalcium,700.0
1315,33MonthOld,needMealTime,3.0
1316,33MonthOld,needNapDuration,2.0
1317,33MonthOld,needSleepDuration,11.0
1318,33MonthOld,needSnackTime,2.0
1319,34MonthOld,act,DoingPuzzle
1320,34MonthOld,act,DrawingColoring
1321,34MonthOld,act,GoingGroceryShopping
1322,34MonthOld,act,GoingToBookSpace
1323,34MonthOld,act,GoingToKidsGym
1324,34MonthOld,act,GoingToSightseeing
1325,34MonthOld,act,GoingToThePark
1326,34MonthOld,act,MakingCollage
1327,34MonthOld,act,Outing
1328,34MonthOld,act,PlayingBoardGame
1329,34MonthOld,act,PlayingClay
1330,34MonthOld,act,PlayingCountingGame
1331,34MonthOld,act,PlayingDates
1332,34MonthOld,act,PlayingDifficultBlock
1333,34MonthOld,act,PreparingTheMeal
1334,34MonthOld,act,Rhyming
1335,34MonthOld,behave,BadManner
1336,34MonthOld,behave,Bossiness
1337,34MonthOld,behave,Disobeying
1338,34MonthOld,behave,Friendship
1339,34MonthOld,behave,ImaginaryFriend
1340,34MonthOld,behave,OccasionalNegativeEmotion
1341,34MonthOld,behave,RefusingBedtime
1342,34MonthOld,behave,RefusingNap
1343,34MonthOld,behave,SayingNo
1344,34MonthOld,behave,SeekingAttention
1345,34MonthOld,behave,SenseOfHumor
1346,34MonthOld,behave,ShortAttentionSpan
1347,34MonthOld,behave,Shyness
1348,34MonthOld,behave,TransitionTrouble
1349,34MonthOld,behave,WakingUpTooEarly
1350,34MonthOld,behave,Whining
1351,34MonthOld,check,LimitingTVTime
1352,34MonthOld,do,BuildingBlock
1353,34MonthOld,do,DecliningTantrum
1354,34MonthOld,do,DrawingShape
1355,34MonthOld,do,DressingIndependently
1356,34MonthOld,do,EatingIndependently
1357,34MonthOld,do,FollowingInstruction
1358,34MonthOld,do,GoingToDaycare
1359,34MonthOld,do,GoingToPreSchool
1360,34MonthOld,do,HandWashing
1361,34MonthOld,do,Jumping
1362,34MonthOld,do,PickyEating
1363,34MonthOld,do,PottyTrainingReady
1364,34MonthOld,do,PullingPants
1365,34MonthOld,do,RidingTricycle
1366,34MonthOld,do,SomePottyTrainingMastered
1367,34MonthOld,do,Speaking100To250Words
1368,34MonthOld,do,Speaking250To450Words
1369,34MonthOld,do,SpeakingFourWordSentence
1370,34MonthOld,do,SpeakingInSentences
1371,34MonthOld,do,SpeakingThreeWordSentence
1372,34MonthOld,do,SpeakingTwoPhrases
1373,34MonthOld,do,SpeakingTwoWordSentence
1374,34MonthOld,do,StandingOneFoot
1375,34MonthOld,do,SteppingOneFoot
1376,34MonthOld,do,TeethingLowerSecondMolar
1377,34MonthOld,do,TeethingUpperSecondMolar
1378,34MonthOld,do,TellingChange
1379,34MonthOld,do,TellingThePottyTime
1380,34MonthOld,do,Toothbrushing
1381,34MonthOld,do,UsingPotty
1382,34MonthOld,do,UsingSpoon
1383,34MonthOld,do,Weaning
1384,34MonthOld,eat,Carrot
1385,34MonthOld,eat,Celery
1386,34MonthOld,eat,Cheese
1387,34MonthOld,eat,Chicken
1388,34MonthOld,eat,CookedVeggie
1389,34MonthOld,eat,FiberGummy
1390,34MonthOld,eat,Fruit
1391,34MonthOld,eat,FruitSnack
1392,34MonthOld,eat,Grain
1393,34MonthOld,eat,IronSupplement
1394,34MonthOld,eat,Oreo
1395,34MonthOld,eat,Protein
1396,34MonthOld,eat,Raisin
1397,34MonthOld,eat,Rice
1398,34MonthOld,eat,Sandwich
1399,34MonthOld,eat,SkimMilk
1400,34MonthOld,eat,Spinach
1401,34MonthOld,eat,SteamedVeggie
1402,34MonthOld,eat,Turkey
1403,34MonthOld,eat,VitaminSupplement
1404,34MonthOld,eat,Water
1405,34MonthOld,eat,Yogurt
